CustomerID,Age,Gender,City,Annual_Income,Spending_Score,Visit_Frequency,Online_Shopping,Purchase
1,56,Male,Faisalabad,84306,41,9,0,1
2,69,Female,Karachi,119512,3,12,1,0
3,46,Female,Karachi,31350,86,13,1,0
4,32,Male,Islamabad,114599,40,26,0,1
5,60,Male,Lahore,96397,51,9,0,0
6,25,Female,Faisalabad,94509,84,5,1,0
7,38,Female,Lahore,32769,32,7,1,0
8,56,Female,Faisalabad,116584,48,1,0,1
9,36,Female,Faisalabad,61365,71,4,0,1
10,40,Female,Faisalabad,65185,71,28,0,1
11,28,Female,Lahore,148858,20,26,1,1
12,28,Female,Multan,141525,89,4,1,0
13,41,Male,Lahore,147692,35,16,1,0
14,53,Female,Faisalabad,51303,24,5,1,0
15,57,Female,Islamabad,34589,40,22,1,1
16,41,Male,Karachi,17882,77,4,1,0
17,20,Female,Faisalabad,144236,52,6,0,0
18,39,Female,Islamabad,24745,39,26,1,0
19,19,Male,Multan,30861,68,23,0,1
20,41,Female,Faisalabad,106707,61,3,0,0
21,61,Male,Islamabad,69261,76,25,1,1
22,47,Male,Faisalabad,148909,81,8,0,1
23,55,Male,Lahore,89135,65,17,1,1
24,19,Male,Islamabad,69380,62,29,1,1
25,38,Female,Lahore,101089,81,18,1,0
26,50,Male,Lahore,120025,2,18,0,1
27,29,Male,Islamabad,59397,6,26,0,1
28,39,Female,Karachi,92085,75,25,0,1
29,61,Male,Islamabad,78865,43,12,1,1
30,42,Male,Karachi,70956,82,25,1,0
31,66,Male,Faisalabad,115727,40,25,1,1
32,44,Male,Faisalabad,29988,89,1,1,0
33,59,Female,Islamabad,48800,39,23,1,1
34,45,Male,Faisalabad,102329,28,12,1,1
35,33,Female,Multan,67284,80,11,1,1
36,32,Female,Lahore,71232,63,13,0,1
37,64,Male,Lahore,59420,64,3,1,0
38,68,Male,Karachi,52710,12,27,1,0
39,61,Male,Faisalabad,107035,41,25,0,1
40,69,Male,Karachi,46283,29,8,0,0
